date,state,positive,negative,pending,currentlyHospitalized,cumulativeHospitalized,currentlyInIcu,cumulativeInIcu,currentlyOnVentilator,cumulativeOnVentilator,recovered,death,hash,dateChecked,totalTestResults,total,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200328,MT,129,3256,,,7,,,,,,1,12b1c2b906d3b3558f3ee2ca0749e54a99d31dbd,2020-03-28T20:00:00Z,3385,3385,30,1,0,666,21,687
20200328,NC,935,16592,,87,87,,,,,,4,07d1a267828273db2d5d6670ce367e04ec76fcf1,2020-03-28T20:00:00Z,17527,17527,37,1,0,2219,172,2391
20200328,ND,83,2809,,,16,,,,,16,1,dd15d7f3409d21c490dce5a3bb85e8e55b386d6b,2020-03-28T20:00:00Z,2892,2892,38,1,0,382,18,400
20200328,NE,96,1904,,,,,,,,,2,f38bdc32008aecc1076ab3a55060c3bf2aaf3f31,2020-03-28T20:00:00Z,2000,2000,31,2,0,143,11,154
20200328,NH,187,3656,296,,30,,,,,,2,74186561fac742a7a66cdfa920deb225a72a5f80,2020-03-28T20:00:00Z,3843,4139,33,1,0,261,29,290
20200328,NJ,11124,19386,,,,,,,,,140,9c3f648bf82dcd39bd72b27c4fc21b4ea7830b20,2020-03-28T20:00:00Z,30510,30510,34,32,0,2839,2299,5138
20200328,NM,191,9196,,17,17,,,,,,1,c5171f6cd1951bcad0474c573d3b234ab5db0ee6,2020-03-28T20:00:00Z,9387,9387,35,0,0,819,55,874
20200328,NV,621,7901,,,,,,,,,10,a427ba6ff45eae25e14a89599870514de61749f5,2020-03-28T20:00:00Z,8522,8522,32,0,0,1740,86,1826
20200328,NY,52318,103616,,7328,10054,1755,1755,,,2726,728,3b889f64e3468a106ff2f4ad9bfaa2ee092d26ad,2020-03-28T20:00:00Z,155934,155934,36,209,0,2498,7683,10181
20200328,OH,1406,19012,,,344,,123,,,,25,be6715847ac572748eecb6047dacc472d01d7fc0,2020-03-28T20:00:00Z,20418,20418,39,6,0,0,269,269
20200328,OK,377,1180,,,126,,,,,,15,7038f676006982da1fa1d77096e9674676f40b59,2020-03-28T20:00:00Z,1557,1557,40,7,0,96,55,151
20200328,OR,479,9693,,107,117,,,31,31,,13,7ee2249f2efeec0083cfbfd8158dcdea1b088e2b,2020-03-28T20:00:00Z,10172,10172,41,1,0,1183,65,1248
20200328,PA,2751,25254,,,682,,,,,,34,62660f82e1b6ecde9d09529e18d676f29d008fe9,2020-03-28T20:00:00Z,28005,28005,42,12,0,4238,533,4771
20200328,PR,100,739,792,,,,,,,,3,769b405a9acb11ed486b2a4af482d0f3b610d4bb,2020-03-28T20:00:00Z,839,1631,72,0,0,220,21,241
